category,Actual Data,Model Computed Data
1/2/21,19521,21028
1/3/21,19460,20727
1/4/21,18938,20435
1/5/21,18967,20152
1/6/21,18591,19878
1/7/21,18380,19612
1/8/21,18249,19354
1/9/21,18008,19105
1/10/21,18104,18774
1/11/21,18020,18446
1/12/21,17477,18120
1/13/21,17191,17798
1/14/21,16697,17479
1/15/21,16347,17163
1/16/21,15876,16851
1/17/21,15338,16542
1/18/21,15034,16236
1/19/21,14676,15935
1/20/21,14376,15636
1/21/21,14128,15342
1/22/21,13959,15051
1/23/21,13840,14764
1/24/21,13818,14480
1/25/21,13714,14201
1/26/21,13585,13925
1/27/21,13432,13653
1/28/21,12900,13385
1/29/21,13535,13121
1/30/21,13354,12861
1/31/21,13092,12604
2/1/21,12850,12352
2/2/21,12780,12103
2/3/21,12533,11859
2/4/21,12729,11618
2/5/21,11794,11381
2/6/21,11602,11148
2/7/21,11460,10919
2/8/21,11496,10693
2/9/21,11515,10471
2/10/21,11476,10254
2/11/21,11421,10039
2/12/21,10986,9829
2/13/21,11047,9831
2/14/21,11065,9849
2/15/21,11054,9884
2/16/21,11107,9936
2/17/21,11230,10006
2/18/21,11276,10095
2/19/21,11831,10203
2/20/21,12085,10331
2/21/21,12331,10481
2/22/21,12698,10653
2/23/21,12899,10849
2/24/21,13198,11070
2/25/21,13779,11319
2/26/21,14259,11597
2/27/21,14637,11906
2/28/21,15050,12250
3/1/21,15240,12630
3/2/21,15494,13050
3/3/21,15682,13514
3/4/21,15753,14025
3/5/21,15785,14588
3/6/21,16037,15209
3/7/21,16311,15893
3/8/21,16745,16646
3/9/21,17185,17475
3/10/21,17596,18390
3/11/21,18371,19399
3/12/21,19296,20513
3/13/21,20227,21743
3/14/21,21146,23104
3/15/21,22269,24609
3/16/21,23567,26277
3/17/21,25138,28126
3/18/21,26993,30179
3/19/21,29334,32460
3/20/21,31629,34997
3/21/21,34295,37017
3/22/21,37223,39119
3/23/21,39537,41301
3/24/21,42161,43560
3/25/21,44673,45895
3/26/21,47444,48301
3/27/21,50496,50773
3/28/21,53184,53305
3/29/21,56213,55892
3/30/21,58429,58525
3/31/21,59286,61196
4/1/21,61957,65321
4/2/21,65145,69762
4/3/21,68966,74539
4/4/21,73304,79671
4/5/21,78388,85175
4/6/21,84161,91070
4/7/21,93028,97373
4/8/21,100766,104101
4/9/21,107977,111269
4/10/21,115973,118891
4/11/21,124483,126978
4/12/21,133929,135540
4/13/21,143113,144584
4/14/21,153113,154113
4/15/21,163585,164130
4/16/21,175722,174630
4/17/21,188437,185607
4/18/21,203913,197049
4/19/21,218937,208942
4/20/21,232675,221264
4/21/21,248256,233992
4/22/21,264852,247095
4/23/21,281379,260541
4/24/21,297278,274291
4/25/21,309864,288302
4/26/21,321232,302528
4/27/21,330154,314720
4/28/21,339945,326358
4/29/21,349038,337310
4/30/21,356787,347445
5/1/21,364889,356636
5/2/21,371115,364765
5/3/21,373320,371725
5/4/21,378505,377424
5/5/21,381353,381789
5/6/21,386099,384764
5/7/21,390028,386317
5/8/21,390726,386439
5/9/21,392331,385141
5/10/21,391812,382458
5/11/21,388057,378446
5/12/21,383159,373178
5/13/21,376017,366746
5/14/21,365835,359253
5/15/21,354314,350813
5/16/21,341021,341544
5/17/21,328933,331572
5/18/21,319437,321020
5/19/21,307822,310009
5/20/21,295473,298657
5/21/21,283507,287074
5/22/21,273656,275362
5/23/21,263676,263613
5/24/21,255247,251913
5/25/21,245652,240333
5/26/21,237330,228937
5/27/21,228090,225447
5/28/21,217637,215258
5/29/21,205749,205294
5/30/21,194947,195585
5/31/21,185027,186157
6/1/21,175141,177027
6/2/21,164317,168211
6/3/21,153259,159719
6/4/21,145444,151556
6/5/21,137929,143725
6/6/21,130690,136227
6/7/21,123228,129058
6/8/21,117400,122214
6/9/21,111613,115688
6/10/21,105869,109474
6/11/21,100217,103562
6/12/21,94954,97944
6/13/21,90090,92608
6/14/21,85781,87544
6/15/21,82089,82743
6/16/21,77731,78192
6/17/21,73931,73881
6/18/21,69726,69799
6/19/21,66321,65936
6/20/21,63189,62281
6/21/21,60612,58824
6/22/21,58140,56882
6/23/21,56512,55066
6/24/21,54655,53369
6/25/21,53123,51784
6/26/21,51407,50305
6/27/21,50130,48926
6/28/21,49232,47642
6/29/21,48427,46447
6/30/21,47754,45337
7/1/21,46941,44308
7/2/21,46245,43357
7/3/21,45588,42481
7/4/21,44634,41675
7/5/21,43703,40937
7/6/21,43268,40266
7/7/21,42963,39659
7/8/21,42543,39113
7/9/21,42079,38628
7/10/21,41861,38202
7/11/21,41642,37834
7/12/21,41284,37523
7/13/21,40827,37268
7/14/21,40292,37070
7/15/21,39748,36927
7/16/21,39110,36840
